Symbol,Date,Close
NIFTYBEES,2016-08-18,882.58
NIFTYBEES,2016-08-19,882.65
NIFTYBEES,2016-08-22,878.13
NIFTYBEES,2016-08-23,878.64
NIFTYBEES,2016-08-24,880.74
NIFTYBEES,2016-08-25,877.47
NIFTYBEES,2016-08-26,873.72
NIFTYBEES,2016-08-29,876.4
NIFTYBEES,2016-08-30,889.69
NIFTYBEES,2016-08-31,896.17
NIFTYBEES,2016-09-01,894.34
NIFTYBEES,2016-09-02,896.19
NIFTYBEES,2016-09-06,909.8
NIFTYBEES,2016-09-07,908.9
NIFTYBEES,2016-09-08,912.79
NIFTYBEES,2016-09-09,905.77
NIFTYBEES,2016-09-12,891.09
NIFTYBEES,2016-09-14,892.16
NIFTYBEES,2016-09-15,891.28
NIFTYBEES,2016-09-16,894.84
NIFTYBEES,2016-09-19,897.58
NIFTYBEES,2016-09-20,896.8
NIFTYBEES,2016-09-21,895.71
NIFTYBEES,2016-09-22,903.61
NIFTYBEES,2016-09-23,900.34
NIFTYBEES,2016-09-26,892.21
NIFTYBEES,2016-09-27,888.56
NIFTYBEES,2016-09-28,892.61
NIFTYBEES,2016-09-29,880.58
NIFTYBEES,2016-09-30,878.58
NIFTYBEES,2016-10-03,891.76
NIFTYBEES,2016-10-04,892.93
NIFTYBEES,2016-10-05,890.87
NIFTYBEES,2016-10-06,886.81
NIFTYBEES,2016-10-07,885.85
NIFTYBEES,2016-10-10,889.57
NIFTYBEES,2016-10-13,874.12
NIFTYBEES,2016-10-14,877.29
NIFTYBEES,2016-10-17,869.13
NIFTYBEES,2016-10-18,881.93
NIFTYBEES,2016-10-19,882.14
NIFTYBEES,2016-10-20,886.69
NIFTYBEES,2016-10-21,886.13
NIFTYBEES,2016-10-24,887.73
NIFTYBEES,2016-10-25,887.03
NIFTYBEES,2016-10-26,879.27
NIFTYBEES,2016-10-27,880.79
NIFTYBEES,2016-10-28,881.79
NIFTYBEES,2016-10-30,880.01
NIFTYBEES,2016-11-01,881.84
NIFTYBEES,2016-11-02,872.55
NIFTYBEES,2016-11-03,870.69
NIFTYBEES,2016-11-04,863.49
NIFTYBEES,2016-11-07,872.47
NIFTYBEES,2016-11-08,881.64
NIFTYBEES,2016-11-09,862.42
NIFTYBEES,2016-11-10,875.32
NIFTYBEES,2016-11-11,850.14
NIFTYBEES,2016-11-15,830.88
NIFTYBEES,2016-11-16,829.55
NIFTYBEES,2016-11-17,829.82
NIFTYBEES,2016-11-18,826.81
NIFTYBEES,2016-11-21,813.09
NIFTYBEES,2016-11-22,820.02
NIFTYBEES,2016-11-23,822.53
NIFTYBEES,2016-11-24,817.64
NIFTYBEES,2016-11-25,828.48
NIFTYBEES,2016-11-28,832.45
NIFTYBEES,2016-11-29,833.96
NIFTYBEES,2016-11-30,839.18
NIFTYBEES,2016-12-01,835.29
NIFTYBEES,2016-12-02,826.23
NIFTYBEES,2016-12-05,831.82
NIFTYBEES,2016-12-06,832.54
NIFTYBEES,2016-12-07,827.98
NIFTYBEES,2016-12-08,840.01
NIFTYBEES,2016-12-09,841.85
NIFTYBEES,2016-12-12,833.49
NIFTYBEES,2016-12-13,838.74
NIFTYBEES,2016-12-14,834.33
NIFTYBEES,2016-12-15,832.65
NIFTYBEES,2016-12-16,830.4
NIFTYBEES,2016-12-19,828.91
NIFTYBEES,2016-12-20,826.2
NIFTYBEES,2016-12-21,825.27
NIFTYBEES,2016-12-22,815.9
